t,I,u,I_nn,u_nn
0.51,3.3478585452603387,5.000000025456734,3.3269355053655754,4.999694
0.52,3.4321803489801392,5.000000022999921,3.4109901131589306,4.9993544
0.53,3.5173538880610487,5.000000020029873,3.495914226988927,4.9986916
0.54,3.6033877658835562,5.000000016367214,3.581670152485711,4.997456
0.55,3.690290672728218,5.000000011737958,3.668220696894983,4.9952726
0.56,3.778071386651752,5.000000005701654,3.755532236256916,4.991618
0.57,3.8667387743704795,4.999999997502327,3.843572675531112,4.985827
0.58,3.9563017921492145,4.999999985724291,3.932311957298662,4.97713
0.59,4.04676948668983,4.999999967371724,4.02172206176216,4.9647336
0.6,4.138150995997917,4.999999934810755,4.1117775453887,4.947919
0.61,4.230455550110283,4.999999861126253,4.202453389971359,4.9261503
0.62,4.323692470160583,4.999999534869428,4.293728223462194,4.89915
0.63,4.41766030978093,4.979123652253841,4.385582176561922,4.866946
0.64,4.5120743828762855,4.929332926659212,4.477997417592761,4.829857
0.65,4.606944221929103,4.880039683352637,4.570958152498405,4.788444
0.66,4.702279409239292,4.831239321779621,4.664451183663557,4.7434354
0.67,4.798089574460356,4.782926947646003,4.7584636777045874,4.695643
0.68,4.89438439531424,4.735097690074144,4.852986509128875,4.6458807
0.69,4.991173598512108,4.687746721274853,4.948012034378251,4.5949116
0.7,5.0884669607183985,4.640869259910652,5.043534647516033,4.5434017
0.71,5.1862743095308845,4.594460571717682,5.139550780227046,4.4919057
0.72,5.284605524469873,4.548515969428921,5.236059478517618,4.440859
0.73,5.383470537974322,4.5030308124705645,5.33306009885659,4.3905826
0.74,5.482879336404102,4.458000506573969,5.430555759573438,4.341304
0.75,5.582841961048116,4.413420503353249,5.5285510428511335,4.293161
0.76,5.683368509138187,4.369286299868891,5.627052568494082,4.246227
0.77,5.784469134868738,4.325593438186345,5.726068993928259,4.2005224
0.78,5.8861540504223,4.282337504933945,5.825613248133737,4.1560287
0.79,5.988433527000933,4.239514130862331,5.925722871839687,4.1127
0.8,6.091317895863635,4.1971189904065085,6.026416439536645,4.070474
0.81,6.194817549369846,4.155147801251263,6.127707495528974,4.0292745
0.82,6.298942942029137,4.113596323900046,6.229608867240873,3.9890203
0.83,6.403704591557191,4.072460361248215,6.332133260197082,3.9496317
0.84,6.5091130799381665,4.03173575815943,6.435293258022894,3.9110255
0.85,6.615179054493572,3.9914184010468787,6.539101943144998,3.8731263
0.86,6.72191322895773,3.9515042174580666,6.643570417960942,3.8358617
0.87,6.829326384559967,3.9119891756638103,6.748711517198107,3.7991645
0.88,6.937429371113616,3.8728692842512475,6.85453733688324,3.7629752
0.89,7.046233108111944,3.834140591720859,6.9610598511436494,3.72724
0.9,7.15574858583113,3.7957991860874816,7.068290912207178,3.6919105
0.91,7.265986866440387,3.7578411944852745,7.176242896012682,3.6569448
0.92,7.376959085119347,3.720262782776622,7.284926124164917,3.6223063
0.93,7.488676451182824,3.683060155164941,7.394352724475191,3.587965
0.94,7.601150249213067,3.646229553811209,7.504534061572838,3.553897
0.95,7.71439184019961,3.6097672584547373,7.615481378187685,3.5200791
0.96,7.828412662686849,3.5736695860370276,7.727205795150148,3.4864945
0.97,7.9432242339294445,3.5379328903300786,7.839718984389091,3.453132
0.98,8.058838151055681,3.5025535615679906,7.953030481734643,3.4199784
0.99,8.175266092238894,3.4675280260823884,8.067151710586057,3.3870296
1.0,8.292519817877078,3.432852745941459,8.182093304175183,3.35428
1.01,8.410611171780813,3.3985242185926072,8.297865773834449,3.3217292
1.02,8.529552082369596,3.364538976508674,8.41447950899682,3.2893734
1.03,8.649354563876742,3.3308935868376937,8.531944777195777,3.2572172
1.04,8.770030717562932,3.297584651056152,8.650271724065421,3.2252595
1.05,8.891592732938575,3.2646088046257096,8.769470373340301,3.1935086
1.06,9.014052888995058,3.2319627166533573,8.88955062685559,3.1619658
1.07,9.137423555445059,3.1996430895549697,9.010523711994322,3.1306357
1.08,9.261717193972002,3.1676466587222194,9.13239640269645,3.099524
1.09,9.38694635948882,3.135970192192828,9.255179671860663,3.0686388
1.1,9.513123701406121,3.1046104903241027,9.378883220538587,3.037983
1.11,9.640261964909918,3.0735643854697527,9.503520979687226,3.0075622
1.12,9.768373992249007,3.042828741659954,9.62910604151835,2.9773836
1.13,9.89747272403217,3.012400454284389,9.755650647854536,2.9474497
1.14,10.027571200535315,2.9822764497791603,9.883167172116597,2.917768
1.15,10.158682563018658,2.9524536853156502,10.011668119323577,2.8883429
1.16,10.290820055054137,2.922929148493683,10.141166126092747,2.8591752
1.17,10.423997023863139,2.8936998570370287,10.271673960639614,2.830273
1.18,10.558226921664708,2.8647628584922127,10.403204522777918,2.8016357
1.19,10.693523307034354,2.836115229930275,10.535772430460682,2.7732682
1.2,10.829899846273605,2.8077540776515395,10.669387686199105,2.7451715
1.21,10.967370314790443,2.779676536893311,10.80406515871883,2.7173493
1.22,11.105948598490755,2.7518797715405143,10.939818274228088,2.689798
1.23,11.245648695180957,2.7243609738392154,11.076660590533338,2.6625242
1.24,11.386484715981908,2.6971173641130104,11.214605797039283,2.6355255
1.25,11.528470886754272,2.6701461904822534,11.353667714748845,2.6088028
1.26,11.67162154953549,2.6434447285860863,11.493860296263177,2.582354
